expectedData,actualData,alertLevel 
46.41,2.19,50.5
46.41,2.19,50.5
46.4,1.92,50.5
46.38,2.12,50.5
46.34,2.17,50.5
46.32,2.17,50.5
46.31,2.07,50.5
46.31,2.06,50.5
46.32,2.06,50.5
46.32,2.01,50.5
46.33,2,50.5
46.33,2.11,50.5
46.32,2.11,50.5
46.31,2.12,50.5
46.3,2.12,50.5
46.28,2.12,50.5
46.26,2.63,50.5
46.23,2.58,50.5
46.19,2.52,50.5
46.16,2.48,50.5
46.14,2.45,50.5
46.1,2.39,50.5
46.03,2.28,50.5
45.94,1.96,50.5
45.83,1.92,50.5
45.74,1.93,50.5
45.65,1.95,50.5
45.57,1.96,50.5
45.51,1.97,50.5
45.48,0.833,50.5
45.48,0.839,50.5
45.49,0.845,50.5
45.51,0.851,50.5
45.54,0.857,50.5
45.56,0.864,50.5
45.58,2.18,50.5
45.61,2.23,50.5
45.64,2.27,50.5
45.66,2.3,50.5
45.7,2.36,50.5
45.74,2.42,50.5
45.8,1.94,50.5
45.88,1.97,50.5
45.97,2.01,50.5
46.07,2.71,50.5
46.21,2.91,50.5
46.35,4.13,50.5
46.49,3.58,50.5
46.6,4.24,50.5
46.67,4.05,50.5
46.67,4.06,50.5
46.64,4.05,50.5
46.58,4.04,50.5
46.52,3.15,50.5
46.46,2.56,50.5
46.4,2.58,50.5
46.35,2.59,50.5
46.3,2.58,50.5
46.28,2.56,50.5
46.25,2.12,50.5
46.24,2.11,50.5
46.21,2.09,50.5
46.18,2.08,50.5
46.14,2.07,50.5
46.12,2.07,50.5
46.08,1.76,50.5
46.06,1.78,50.5
46.04,1.8,50.5
46.02,2.53,50.5
46.01,2.51,50.5
45.98,2.47,50.5
